category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,10,The storm pushed black clouds inland. The storm shook the pine trees. The storm snapped a weak branch. The storm blocked the narrow road.,28,4,-117.106420814991,-182.82406736910343,-113.98678022623062,65.71764655411243,-3.119640588760376,2.3470588055040156,-0.11141573531287056
causal,11,The violin string tightened beneath the tuning peg. The violin string stretched beyond a safe limit. The violin string snapped with a sharp sound. The violin string startled the front row.,35,4,-139.65731815993786,-220.51737275719643,-146.62726464867592,80.86005459725857,6.96994648873806,2.3102872742073877,0.19914132824965886
causal,12,The waiter carried a crowded tray. The waiter brushed a chair back. The waiter lost grip on a bowl. The waiter splashed soup across a tablecloth.,32,4,-130.87727358937263,-231.26715572923422,-128.53248734772205,100.38988213986158,-2.3447862416505814,3.1371838168706745,-0.07327457005158067
causal,13,The seed rested in damp soil. The seed cracked along a thin seam. The seed pushed a pale shoot upward. The seed opened two small leaves.,30,4,-141.87536484003067,-202.8093737103045,-141.60313820838928,60.93400887027383,-0.27222663164138794,2.0311336290091275,-0.00907422105471293
causal,14,The printer accepted a thick report. The printer jammed near the rollers. The printer wrinkled three pages. The printer delayed the office meeting.,29,4,-144.93383643380366,-228.32913713902235,-148.77515173493885,83.39530070521869,3.8413153011351824,2.8757000243178856,0.1324591483150063
causal,15,The actor stepped onto the bright stage. The actor missed a cue. The actor paused before the audience. The actor forgot a crucial line.,28,4,-115.32690542936325,-182.2639076784253,-110.09739643335342,66.93700224906206,-5.229508996009827,2.3906072231807878,-0.18676817842892238
causal,16,The tractor rolled into the muddy field. The tractor sank near a deep rut. The tractor spun the rear wheels. The tractor required a tow chain.,31,4,-135.4174960255623,-214.2826148197055,-132.67701768875122,78.8651187941432,-2.7404783368110657,2.5440360901336514,-0.08840252699390534
causal,17,The robin gathered dry twigs. The robin built a nest above the porch. The robin laid four blue eggs. The robin fed four hungry chicks.,34,4,-121.82650201499928,-229.33937721699476,-130.06511539919302,107.51287520199548,8.23861338419374,3.162143388293985,0.24231215835863942
causal,18,The ice cube touched the hot skillet. The ice cube hissed against the metal. The ice cube shrank into clear water. The ice cube vanished in a thin cloud.,35,4,-128.76131537253968,-245.18848657608032,-133.58835925348103,116.42717120354064,4.827043880941346,3.326490605815447,0.13791553945546703
causal,19,The researcher heated a clear solution. The researcher watched bubbles form rapidly. The researcher recorded a sudden color change. The researcher stopped the experiment.,28,4,-130.01255459338427,-199.69663931056857,-130.01865884661674,69.6840847171843,0.0061042532324790955,2.4887173113280108,0.00021800904401711056
causal,20,The child kicked a red ball. The child chased the rolling ball. The child crossed the wet grass. The child slipped beside the pond.,28,4,-109.21280577778816,-165.49217383563519,-112.94738709926605,56.27936805784702,3.73458132147789,2.009977430637394,0.13337790433849608
causal,21,The envelope arrived with a wax seal. The envelope opened along one clean edge. The envelope revealed a train ticket. The envelope changed the travel plan.,30,4,-135.39990037679672,-189.87821977213025,-146.3999149799347,54.47831939533353,11.00001460313797,1.815943979844451,0.3666671534379323
causal,22,The bridge carried a heavy truck. The bridge groaned above the river. The bridge shed several rust flakes. The bridge alarmed the bridge inspector.,29,4,-127.18908815085888,-221.89566577225924,-136.71474604308605,94.70657762140036,9.525657892227173,3.265744055910357,0.328470961800937
causal,23,The cat watched a moving shadow. The cat pounced under the table. The cat struck a glass vase. The cat scattered white lilies across the floor.,33,4,-128.7681054621935,-234.2297335974872,-128.47978177666664,105.46162813529372,-0.28832368552684784,3.1958069131907187,-0.00873708137960145
causal,24,The musician tuned a battered guitar. The musician tightened a frayed string. The musician broke the string with one turn. The musician borrowed another guitar.,30,4,-124.75030387938023,-192.84883956983685,-124.65258732438087,68.09853569045663,-0.0977165549993515,2.269951189681888,-0.0032572184999783834
causal,25,The camper struck a single match. The camper lit a pile of dry leaves. The camper fed thick branches to the fire. The camper warmed cold hands.,35,4,-147.10835369373672,-229.4700210019946,-142.56800661131274,82.36166730825789,-4.5403470824239776,2.353190494521654,-0.12972420235497079
causal,26,The student opened a final exam booklet. The student read the first question twice. The student solved three short problems. The student submitted the answer sheet.,30,4,-123.06379613280296,-208.51541255787015,-125.19917143881321,85.45161642506719,2.1353753060102463,2.8483872141689064,0.07117917686700821
causal,27,The package slid from the conveyor belt. The package hit a concrete floor. The package split at one corner. The package spilled green apples.,29,4,-117.91502349078655,-217.62481135874987,-119.8591591194272,99.70978786796331,1.9441356286406517,3.4382685471711487,0.06703915960829833
causal,28,The farmer opened the barn gate. The farmer released three restless goats. The farmer chased the goats through clover. The farmer repaired a broken latch.,30,4,-127.58302439749241,-226.09700271487236,-131.2248219847679,98.51397831737995,3.641797587275505,3.2837992772459983,0.1213932529091835
causal,29,The singer inhaled before the high note. The singer strained against the melody. The singer missed the pitch badly. The singer ended the song early.,30,4,-133.48167398571968,-206.4655925258994,-135.89665374392644,72.98391854017973,2.414979758206755,2.4327972846726578,0.08049932527355849
causal,30,The lantern burned low in the tunnel. The lantern flickered near a draft. The lantern lost the final flame. The lantern left the miners in darkness.,32,4,-137.70564681247197,-223.7366093993187,-142.92884544951448,86.03096258684673,5.223198637042515,2.68846758083896,0.16322495740757859
causal,31,The scientist dropped a tablet into water. The scientist watched foam rise quickly. The scientist measured the bubbling liquid. The scientist wrote the result in a notebook.,32,4,-130.0020538121462,-236.075731895864,-139.64074236154556,106.07367808371782,9.638688549399376,3.314802440116182,0.3012090171687305
causal,32,The chef heated oil in a pan. The chef added chopped garlic. The chef stirred sliced mushrooms. The chef served a fragrant sauce.,28,4,-107.14017675979994,-197.98635529726744,-108.27869440661743,90.8461785374675,1.1385176468174905,3.244506376338125,0.040661344529196085
causal,33,The skateboarder pushed off down the slope. The skateboarder hit a crack in concrete. The skateboarder jumped from the board. The skateboarder landed inside a hedge.,38,4,-115.76172210811637,-213.09626488387585,-117.89396458060946,97.33454277575947,2.1322424724930897,2.561435336204197,0.056111644012976046
causal,34,The mailbox received a thick envelope. The mailbox held the envelope through a storm. The mailbox rattled in strong wind. The mailbox dropped the envelope into a puddle.,33,4,-127.94544912874699,-204.52593967318535,-131.92502895742655,76.58049054443836,3.9795798286795616,2.3206209255890413,0.1205933281418049
causal,35,The explorer followed a faint trail. The explorer crossed a shallow stream. The explorer climbed a rocky ledge. The explorer found an abandoned cabin.,28,4,-98.81719845533371,-177.54190485551953,-101.5236906260252,78.72470640018582,2.70649217069149,2.8115966571494937,0.09666043466755322
causal,36,The coffee grinder swallowed dark beans. The coffee grinder roared on the counter. The coffee grinder produced coarse grounds. The coffee grinder scented the whole kitchen.,35,4,-128.8520911138039,-244.97494028881192,-134.26953514898196,116.12284917500801,5.41744403517805,3.3177956907145147,0.15478411529080144
causal,37,The clock tower rang above the square. The clock tower drew a crowd of pigeons. The clock tower dropped a loose bolt. The clock tower cleared the stone bench.,34,4,-133.3399970415776,-224.43503065407276,-135.59502248541685,91.09503361249517,2.2550254438392585,2.679265694485152,0.06632427775997819
causal,38,The canoe bumped a hidden rock. The canoe tipped toward the bank. The canoe filled with cold water. The canoe stranded two paddles in reeds.,31,4,-136.51492105424404,-226.76177307218313,-138.22973829507828,90.24685201793909,1.7148172408342361,2.9111887747722287,0.05531668518820117
causal,39,The laptop downloaded a large update. The laptop restarted without warning. The laptop froze on a gray screen. The laptop delayed the presentation.,28,4,-124.10154244629666,-191.2250008508563,-113.06689627398737,67.12345840455964,-11.034646172309294,2.397266371591416,-0.39409450615390335
causal,40,The bee entered a bright flower. The bee collected yellow pollen. The bee left the flower quickly. The bee dusted a nearby blossom.,29,4,-119.168891325593,-206.27635496854782,-122.71179467439651,87.10746364295483,3.54290334880352,3.003705642860511,0.12216908099322484
causal,41,The mason stacked fresh bricks. The mason spread wet mortar. The mason raised a straight garden wall. The mason cleaned the trowel carefully.,33,4,-139.04732669657096,-219.53280821442604,-136.5247868221486,80.48548151785508,-2.522539874422364,2.438953985389548,-0.07644060225522314
causal,42,The river rose with steady rain. The river covered the low bank. The river carried branches downstream. The river flooded the footpath.,27,4,-113.910060942173,-180.95242112129927,-117.53053289651871,67.04236017912626,3.620471954345703,2.4830503770046763,0.13409155386465568
causal,43,The tailor cut blue fabric. The tailor pinned two sleeves. The tailor stitched a clean seam. The tailor finished a wool jacket.,27,4,-124.30263879150152,-177.5358924716711,-116.9853895753622,53.23325368016958,-7.317249216139317,1.9716019881544289,-0.2710092302273821
causal,44,The horse heard a loud clap. The horse reared beside the fence. The horse pulled free from the rope. The horse raced across the pasture.,31,4,-111.44777400791645,-210.96829245984554,-111.86856305599213,99.52051845192909,0.42078904807567596,3.2103393049009386,0.013573840260505676
causal,45,The hiker followed a faded map. The hiker reached a forked trail. The hiker chose the steeper path. The hiker found a waterfall.,33,4,-113.84623724530684,-208.53062554448843,-112.65774435794447,94.68438829918159,-1.1884928873623721,2.8692238878539875,-0.036014935980677946
causal,46,The soap bubble drifted above the grass. The soap bubble touched a thorny stem. The soap bubble burst with a pop. The soap bubble left a wet circle.,33,4,-128.54953397251666,-203.81354507803917,-126.45770978368819,75.26401110552251,-2.0918241888284683,2.280727609258258,-0.06338861178268086
causal,47,The drone lifted from the wooden deck. The drone climbed above the orchard. The drone lost contact near tall pines. The drone dropped into thick branches.,32,4,-131.88067071139812,-251.5999948605895,-141.19500520825386,119.71932414919138,9.314334496855736,3.7412288796622306,0.29107295302674174
causal,48,The squirrel buried an acorn. The squirrel covered the hole with leaves. The squirrel returned during light snow. The squirrel uncovered the acorn.,29,4,-113.20605738274753,-191.71028979867697,-118.26362770469859,78.50423241592944,5.0575703219510615,2.707042497101015,0.1743989766190021
causal,49,The locksmith inserted a thin pick. The locksmith turned the stubborn cylinder. The locksmith heard a quiet click. The locksmith opened the apartment door.,32,4,-126.40110053404351,-215.81070094555616,-129.81744940238423,89.40960041151266,3.4163488683407195,2.7940500128597705,0.10676090213564748
causal,50,The potter centered wet clay. The potter pressed open a hollow bowl. The potter shaped a smooth rim. The potter placed the bowl in a kiln.,35,4,-125.87187526142225,-230.06675451248884,-132.90783914597705,104.1948792510666,7.035963884554803,2.9769965500304743,0.20102753955870867
causal,51,The branch bent beneath heavy fruit. The branch split near the trunk. The branch crashed onto the fence. The branch crushed a row of beans.,29,4,-131.11811666190624,-186.55802960693836,-133.3042980581522,55.43991294503212,2.1861813962459564,1.9117211360355904,0.0753855653877916
causal,52,The detective found a muddy footprint. The detective compared the footprint with a boot. The detective visited a deserted shed. The detective uncovered stolen paintings.,29,4,-125.76485668122768,-213.27149373292923,-137.1709691658616,87.50663705170155,11.406112484633923,3.0174702431621223,0.3933142236080663
causal,53,The camera flashed in the rain. The camera slipped from a wet hand. The camera struck a stone step. The camera lost the rear screen.,29,4,-121.22703063488007,-180.7461898252368,-121.84816443920135,59.51915919035673,0.6211338043212891,2.0523847996674736,0.02141840704556169
causal,54,The choir gathered beneath stained glass. The choir opened a hymnbook. The choir sang a bright harmony. The choir filled the chapel with music.,30,4,-116.33946708962321,-207.47057574987411,-114.7575367372483,91.1311086602509,-1.5819303523749113,3.0377036220083635,-0.05273101174583038
causal,55,The fisherman cast a long line. The fisherman felt a strong pull. The fisherman reeled toward the boat. The fisherman landed a silver trout.,29,4,-113.18406265974045,-194.4283756390214,-106.35805231332779,81.24431297928095,-6.826010346412659,2.8015280337683084,-0.23537966711767788
causal,56,The tomato plant sprouted beside the fence. The tomato plant spread thin green stems. The tomato plant grew yellow blossoms. The tomato plant produced red fruit.,32,4,-126.19485292644822,-226.53503676503897,-123.61123960412806,100.34018383859075,-2.5836133223201614,3.135630744955961,-0.08073791632250504
causal,57,The train entered a mountain tunnel. The train slowed on the dark track. The train stopped near a signal light. The train released tired passengers onto a platform.,32,4,-125.91032680869102,-207.04219978675246,-130.4411072731018,81.13187297806144,4.530780464410782,2.53537103056442,0.14158688951283693
causal,58,The janitor found a leaking pipe. The janitor closed the water valve. The janitor mopped a wide puddle. The janitor reopened the hallway.,33,4,-116.14086604886688,-213.5554767102003,-118.840905823512,97.41461066133343,2.70003977464512,2.9519578988282857,0.08181938711045818
causal,59,The moth circled a porch lamp. The moth brushed the hot glass. The moth fell onto the railing. The moth rested beneath a leaf.,28,4,-119.03870484232903,-181.6138062030077,-126.78114235401154,62.57510136067867,7.74243751168251,2.234825048595667,0.2765156254172325
causal,60,The judge heard closing arguments. The judge reviewed the written evidence. The judge announced a firm verdict. The judge ended the long trial.,27,4,-113.29969975538552,-177.17031468451023,-106.4073375724256,63.87061492912471,-6.892362182959914,2.3655783307083227,-0.2552726734429598
causal,61,The gardener planted tulip bulbs. The gardener covered the bulbs with soil. The gardener watered the narrow bed. The gardener admired pink blossoms.,33,4,-118.14970880192413,-257.33744440972805,-123.69522667147248,139.18773560780392,5.545517869548348,4.217810169933452,0.16804599604691964
causal,62,The carpenter measured a pine board. The carpenter marked a straight line. The carpenter cut along the line. The carpenter assembled a small shelf.,32,4,-112.18507956678513,-196.56381180137396,-114.16193503513932,84.37873223458882,1.976855468354188,2.6368353823309008,0.06177673338606837
causal,63,The frog sat beside the pond. The frog snapped at a fly. The frog swallowed the fly whole. The frog disappeared into reeds.,28,4,-107.47961758077145,-186.01949467509985,-116.80149175226688,78.5398770943284,9.321874171495438,2.8049956105117286,0.33292407755340847
causal,64,The nurse heard a sharp alarm. The nurse entered the recovery room. The nurse checked a loose sensor. The nurse silenced the machine.,27,4,-116.28914061188698,-179.59187529981136,-122.41125828027725,63.302734687924385,6.122117668390274,2.344545729182385,0.2267450988292694
causal,65,The windmill caught a steady breeze. The windmill turned the wooden gears. The windmill pumped clear water upward. The windmill filled a stone trough.,32,4,-126.01387091353536,-208.70598444715142,-123.94234181381762,82.69211353361607,-2.0715290997177362,2.584128547925502,-0.06473528436617926
causal,66,The firework rose above the crowd. The firework burst in green sparks. The firework shed ash across the lawn. The firework scorched a picnic blanket.,34,4,-130.57380243577063,-239.8293233886361,-135.0095571707934,109.25552095286548,4.435754735022783,3.2133976750842788,0.13046337455949364
causal,67,The diver stepped from the boat. The diver descended beside a reef. The diver spotted a rusted anchor. The diver photographed the anchor.,28,4,-114.49993202090263,-183.27634605020285,-124.87632039189339,68.77641402930021,10.376388370990753,2.456300501046436,0.3705852989639555
causal,68,The piano stood near an open window. The piano absorbed damp sea air. The piano lost a clear pitch. The piano frustrated the music teacher.,29,4,-139.05145806074142,-198.99508202075958,-131.8726182281971,59.94362396001816,-7.178839832544327,2.0670215158626952,-0.24754620112221817
causal,69,The marble rolled across the desk. The marble struck a ceramic mug. The marble tipped the mug sideways. The marble spread ink over homework.,28,4,-130.04184916615486,-192.3259193301201,-138.8266315460205,62.284070163965225,8.784782379865646,2.224431077284472,0.3137422278523445
causal,70,The astronaut entered the narrow capsule. The astronaut fastened the shoulder straps. The astronaut felt strong vibration. The astronaut reached a stable orbit.,28,4,-119.18248063325882,-193.5151685550809,-112.54144404828548,74.33268792182207,-6.641036584973335,2.6547388543507884,-0.23717987803476198
causal,71,The scarf caught on a nail. The scarf stretched along one edge. The scarf tore beside the fringe. The scarf lost a strip of wool.,29,4,-126.0970369875431,-185.8329102396965,-125.94441893696785,59.7358732521534,-0.15261805057525635,2.0598576983501173,-0.00526269139914677
causal,72,The rabbit squeezed through a gap. The rabbit entered the cabbage patch. The rabbit chewed three leaves. The rabbit startled the gardener.,28,4,-109.5982651473023,-210.22359440475702,-113.39045427925885,100.62532925745472,3.7921891319565475,3.5937617591948117,0.13543532614130527
causal,73,The violinist raised a polished bow. The violinist drew a long note. The violinist broke the silence. The violinist earned loud applause.,30,4,-113.48996359854937,-181.92719761282206,-111.90991718880832,68.43723401427269,-1.580046409741044,2.2812411338090897,-0.0526682136580348
causal,74,The bell swung above the entryway. The bell struck the iron frame. The bell echoed through the hall. The bell summoned the students.,28,4,-114.33844806998968,-175.38195561617613,-111.04087020456791,61.04350754618645,-3.297577865421772,2.1801252695066586,-0.11777063805077757
causal,75,The mechanic loosened the wheel nuts. The mechanic removed the flat tire. The mechanic mounted a spare tire. The mechanic returned the car keys.,29,4,-112.80714815855026,-178.9900667667389,-104.7685220107669,66.18291860818863,-8.038626147783361,2.2821696071789184,-0.27719400509597797
causal,76,The falcon circled above dry grass. The falcon folded narrow wings. The falcon dropped toward a field mouse. The falcon carried the catch skyward.,33,4,-144.31299075251445,-242.05325406603515,-149.2242576885037,97.7402633135207,4.911266935989261,2.961826161015779,0.14882627078755337
causal,77,The glacier crept down the valley. The glacier pressed against a boulder. The glacier cracked the boulder apart. The glacier scattered gray fragments.,27,4,-113.84689658880234,-178.22833586484194,-125.4753161072731,64.3814392760396,11.628419518470764,2.38449775096443,0.4306822043878061
causal,78,The teacher wrote a long equation. The teacher paused beside the chalkboard. The teacher explained each symbol. The teacher assigned three practice problems.,28,4,-128.5943918824196,-203.79208666831255,-129.70016300678253,75.19769478589296,1.1057711243629456,2.6856319566390345,0.0394918258701052
causal,79,The balloon floated near a thorn bush. The balloon brushed a sharp twig. The balloon burst with a loud snap. The balloon frightened a small child.,31,4,-131.23668966442347,-214.13808488473296,-129.78747826814651,82.9013952203095,-1.4492113962769508,2.674238555493855,-0.04674875471861132
causal,80,The raccoon opened a loose lid. The raccoon climbed into the trash bin. The raccoon spilled apple peels outside. The raccoon woke the whole household.,34,4,-136.01181537937373,-262.2051033228636,-127.16854747803882,126.19328794348985,-8.843267901334912,3.711567292455584,-0.26009611474514444
causal,81,The monk rang a bronze bell. The monk entered the stone hall. The monk lit three candles. The monk began a quiet chant.,27,4,-105.99301370978355,-167.34877459704876,-109.03770032525063,61.355760887265205,3.0446866154670715,2.27243558841723,0.11276617094322487
causal,82,The pilot taxied toward the runway. The pilot increased engine power. The pilot lifted above the treetops. The pilot leveled the small plane.,30,4,-129.4862989783287,-221.3342842720449,-124.958580031991,91.84798529371619,-4.5277189463377,3.0615995097905397,-0.15092396487792334
causal,83,The seamstress threaded a fine needle. The seamstress joined two torn edges. The seamstress reinforced the weak corner. The seamstress returned the repaired bag.,32,4,-141.36423294059932,-216.91646374017,-139.85975463781506,75.55223079957068,-1.504478302784264,2.3610072124865837,-0.04701494696200825
causal,84,The hedgehog sniffed a fallen apple. The hedgehog bit through the soft skin. The hedgehog carried a small piece. The hedgehog vanished beneath brambles.,35,4,-131.5848292572773,-257.6834201440215,-135.68195234250743,126.0985908867442,4.097123085230123,3.6028168824784057,0.11706065957800352
causal,85,The bell pepper fell from the basket. The bell pepper rolled beneath the table. The bell pepper struck a chair leg. The bell pepper stopped beside the stove.,32,4,-119.07225408218801,-180.90013474971056,-120.22215335466899,61.82788066752255,1.1498992724809796,1.9321212708600797,0.03593435226503061
causal,86,The diplomat opened a sealed folder. The diplomat read a short proposal. The diplomat signed the final page. The diplomat ended a tense dispute.,28,4,-121.68112739920616,-189.4045622497797,-125.55865554511547,67.72343485057354,3.8775281459093094,2.418694101806198,0.13848314806818962
causal,87,The sculptor struck a marble block. The sculptor cleared white dust. The sculptor revealed a human profile. The sculptor displayed the statue outdoors.,31,4,-127.5655893238727,-199.97575060278177,-129.62918017222546,72.41016127890907,2.06359084835276,2.3358116541583573,0.06656744672105677
causal,88,The penguin slid across smooth ice. The penguin reached dark water. The penguin dove beneath floating ice. The penguin caught a silver fish.,31,4,-123.86203188961372,-207.32612612098455,-122.59492639498785,83.46409423137084,-1.2671054946258664,2.6923901364958334,-0.04087437079438279
causal,89,The subway train entered a crowded station. The subway train opened the side doors. The subway train accepted dozens of passengers. The subway train left the platform.,31,4,-101.37590943649411,-197.8153608739376,-104.77864564210176,96.4394514374435,3.4027362056076527,3.110950046369145,0.10976568405185977
causal,90,The oak leaf loosened from a branch. The oak leaf spun across the yard. The oak leaf landed in a drain. The oak leaf blocked the grate.,32,4,-126.64172276481986,-193.30177694931626,-128.4748121057637,66.6600541844964,1.8330893409438431,2.0831266932655126,0.0572840419044951
causal,91,The pharmacist counted white tablets. The pharmacist sealed a labeled bottle. The pharmacist reviewed the printed directions. The pharmacist handed over the medicine.,31,4,-119.23804563043814,-243.26419891417027,-121.1750344853499,124.02615328373213,1.9369888549117604,4.00084365431394,0.06248351144876647
causal,92,The avalanche broke from the ridge. The avalanche raced down the slope. The avalanche buried a ski trail. The avalanche trapped two empty sleds.,29,4,-115.49239027500153,-191.7255923449993,-117.54158446192741,76.23320206999779,2.049194186925888,2.6287311058619927,0.0706618685146858
causal,93,The chess player advanced a central pawn. The chess player opened a diagonal line. The chess player attacked the black queen. The chess player won the rook.,31,4,-107.35824960609898,-151.91216000542045,-107.45002244785428,44.55391039932147,0.09177284175530076,1.4372229161071441,0.002960414250170992
causal,94,The beaver gnawed through a young trunk. The beaver dragged branches to the stream. The beaver stacked branches beside mud. The beaver formed a low dam.,35,4,-156.0866950508207,-237.13528170064092,-150.87461596913636,81.04858664982021,-5.212079081684351,2.3156739042805774,-0.14891654519098146
causal,95,The photographer climbed a wooden ladder. The photographer adjusted a wide lens. The photographer framed the town square. The photographer captured a sharp image.,28,4,-110.64409547299147,-181.8085260167718,-113.96787232160568,71.16443054378033,3.323776848614216,2.5415868051350117,0.11870631602193628
causal,96,The peach slipped from the crate. The peach struck a brick path. The peach split near the pit. The peach attracted a swarm of ants.,29,4,-124.04414273425937,-184.31101851165295,-130.22784113138914,60.26687577739358,6.183698397129774,2.078168130254951,0.21323097921137152
causal,97,The blacksmith heated an iron bar. The blacksmith hammered the glowing metal. The blacksmith bent a curved hook. The blacksmith cooled the hook in water.,33,4,-118.23014551313827,-207.72358517348766,-126.02325221519277,89.4934396603494,7.7931067020545015,2.711922413949982,0.2361547485471061
causal,98,The otter found a flat stone. The otter carried a mussel to shore. The otter cracked the shell with the stone. The otter ate the mussel.,36,4,-118.50099449441768,-218.55699732899666,-119.03328075585887,100.05600283457898,0.5322862614411861,2.7793334120716384,0.014785729484477391
causal,99,The kingfisher perched above the creek. The kingfisher spotted a tiny fish. The kingfisher plunged into clear water. The kingfisher returned with the fish.,36,4,-109.21823043935001,-230.83479250967503,-117.65768545417814,121.61656207032502,8.439455014828127,3.378237835286806,0.23442930596744796
noncausal,0,The library lent a heavy atlas. The library hosted a chess tournament. The library displayed old framed photographs. The library received a donated wooden shelf from a volunteer.,33,4,-152.42246159911156,-238.7505284063518,-145.4120553135872,86.32806680724025,-7.010406285524368,2.616002024461826,-0.21243655410679904
noncausal,1,The museum restored an oil portrait. The museum hosted a brass quartet. The museum closed one upstairs gallery. The museum purchased a bronze statue.,29,4,-135.07505701715127,-200.35550264269114,-139.3294689944014,65.28044562553987,4.254411977250129,2.2510498491565474,0.1467038612844872
noncausal,2,The bakery sold cinnamon rolls beside the register. The bakery hired a weekend cashier. The bakery donated unsold loaves. The bakery painted a new sidewalk sign.,33,4,-149.57124480017228,-278.8348378613591,-156.57409652438946,129.26359306118684,7.00285172421718,3.9170785776117225,0.21220762800658122
noncausal,3,The mayor opened a neighborhood garden. The mayor signed a flood relief order. The mayor visited a crowded school gym. The mayor praised a youth orchestra.,30,4,-120.425004824996,-204.91214899718761,-125.55971047282219,84.48714417219162,5.134705647826195,2.816238139073054,0.17115685492753982
noncausal,4,The train station installed a ticket kiosk. The train station displayed a lost umbrella. The train station hosted a small art fair. The train station repaired a cracked bench.,34,4,-138.1887341029942,-239.00184103101492,-137.39361635083333,100.81310692802072,-0.795117752160877,2.9650913802359034,-0.023385816240025795
noncausal,5,The orchestra rehearsed a comic overture. The orchestra recorded a radio segment. The orchestra welcomed a guest conductor. The orchestra accepted a local grant.,30,4,-127.39751927182078,-217.78380708396435,-128.4255079831928,90.38628781214356,1.0279887113720179,3.0128762604047856,0.03426629037906726
noncausal,6,The farmer sold three goats at auction. The farmer repaired a broken fence. The farmer planted sweet corn near the road. The farmer judged a pie contest.,31,4,-131.06642737984657,-216.93748293817043,-136.96493454277515,85.87105555832386,5.898507162928581,2.7700340502685115,0.1902744246105994
noncausal,7,The school opened a science lab. The school planted a maple tree. The school invited a retired astronaut. The school replaced cracked lockers.,28,4,-121.26223987340927,-207.9179277420044,-124.68158328533173,86.65568786859512,3.419343411922455,3.0948459953069687,0.1221194075686591
noncausal,8,The lighthouse guided a fishing boat. The lighthouse received a fresh coat of paint. The lighthouse hosted a history lecture. The lighthouse displayed a brass compass.,30,4,-121.91277815401554,-201.99524196237326,-118.98943378403783,80.08246380835772,-2.9233443699777126,2.6694154602785907,-0.09744481233259042
noncausal,9,The dentist polished a chipped molar. The dentist donated old magazines. The dentist attended a safety seminar. The dentist planted tulips outside the clinic.,31,4,-146.35277439653873,-253.38862091302872,-150.8069243133068,107.03584651648998,4.454149916768074,3.452769242467419,0.1436822553796153
noncausal,10,The city bus carried a violin case. The city bus received a new route map. The city bus stopped beside a street parade. The city bus splashed rainwater over a curb.,37,4,-155.69697925448418,-250.04785959422588,-156.88712786883116,94.3508803397417,1.190148614346981,2.550023792965992,0.032166178766134625
noncausal,11,The bookstore stocked a poetry anthology. The bookstore hosted a puzzle night. The bookstore mailed a special order. The bookstore replaced a flickering lamp.,28,4,-133.07822370529175,-180.92528197169304,-131.4133471697569,47.84705826640129,-1.6648765355348587,1.7088235095143318,-0.0594598762691021
